uid;title;source_site;source_id_string;thumbnail;is_visible;created_date;modified_date;short_desc;posted_by_id
51;I Hate Models - Daydream;youtube;xjCb4CB-hdw;static/sonovsite/son/i_hate_models_daydream.jpg;t;2017-05-06 09:49:57+02;2017-05-06 09:50:18.224662+02;Le son qui parle à ta cage thoracique;3
48;Hot Sugar - The girl who stole my tamagotchi;youtube;NF6PPz8LunY;static/sonovsite/son/hot_sugar_the_girl_who_stole_my_tamagotchi.jpg;t;2017-05-07 00:00:00+02;2017-05-06 09:47:33.17817+02;;3
49;Zero Cult - Hit and run;youtube;dmZfgwooxB8;static/sonovsite/son/zero_cult_hit_and_run.jpg;t;2017-05-09 00:00:00+02;2017-05-06 09:44:38.745299+02;;3
50;Valentino Khan - Deep down low;youtube;1wl5BbUg05M;static/sonovsite/son/Valentino_Khan_-_Deep_down_low.jpg;t;2017-05-11 00:00:00+02;2017-05-06 09:47:27.460578+02;;3
52;Jinsang - Affection;youtube;dIC4VSUE7q4;static/sonovsite/son/jinsang_affection.jpg;t;2017-05-13 00:00:00+02;2017-05-09 20:24:05.357538+02;Too cool;3
53;Sam Gellaitry - Ceremony;youtube;2m2lEprDrfo;static/sonovsite/son/sam_gellaitry_ceremony.jpg;t;2017-05-15 00:00:00+02;2017-05-09 20:27:14.403369+02;;3
58;adriatique - lophobia;youtube;_3xxFm1pvpU;static/sonovsite/son/adriatique_-_lophobia.PNG;t;2017-05-16 23:18:26+02;2017-05-16 23:19:43.448009+02;Les pépites du label DIYNAMIC !;2
59;frankey & sandrino - lost (feat. jinadu);youtube;8j3YaH3n528;static/sonovsite/son/frankey__sandrino_-_lost_feat._jinadu.PNG;t;2017-05-16 23:28:03+02;2017-05-16 23:28:26.325669+02;"On vous conseille également leur tube ""Acamar"" !";2
64;Scartip - Quadruped (Noisia Radio Rip);soundcloud;322563947;static/sonovsite/son/scartip_quadruped.jpg;t;2017-05-31 00:00:00+02;2017-05-31 18:25:18.504819+02;Noisia Radio apporte des gemmes ! Celui-là est introuvable autre part.;3
60;aparde - equal;youtube;idHfwEVgV8M;static/sonovsite/son/aparde_-_equal.PNG;t;2017-05-17 18:00:00+02;2017-05-16 23:37:26.047626+02;Quelques lumières dans cette track gloomy...;2
